open,high,low,close,Basis,Upper,Lower,Volume
1.39745,1.39754,1.39598,1.39616,1.3977975,1.398779312,1.396815688,146
1.39616,1.39624,1.39462,1.39476,1.3976255,1.39925599,1.39599501,270
1.39476,1.39568,1.39462,1.39566,1.3974925,1.399299131,1.395685869,286
1.39566,1.39582,1.39496,1.39496,1.3973095,1.39934872,1.39527028,161
1.39496,1.39538,1.39476,1.39506,1.397155,1.399376193,1.394933807,231
1.39506,1.39555,1.39506,1.39526,1.397024,1.399364542,1.394683458,134
1.39526,1.39534,1.39448,1.39465,1.3968605,1.399378003,1.394342997,206
1.39465,1.39527,1.39465,1.39502,1.396704,1.399270082,1.394137918,161
1.39502,1.39584,1.39496,1.39566,1.39661,1.39918442,1.39403558,136
1.39566,1.39617,1.39564,1.39564,1.3965215,1.399101518,1.393941482,146
1.39564,1.39575,1.39532,1.39532,1.3964105,1.398996706,1.393824294,114
1.39532,1.39585,1.39526,1.39545,1.396284,1.398797224,1.393770776,127
1.39545,1.39634,1.39536,1.39634,1.396211,1.398626772,1.393795228,197
1.39634,1.39674,1.39594,1.39663,1.396131,1.39837381,1.39388819,148
1.39663,1.39734,1.39654,1.39724,1.3961055,1.398284798,1.393926202,115
1.39724,1.39777,1.39694,1.39698,1.3960755,1.398188285,1.393962715,147
1.39698,1.39729,1.39628,1.3963,1.395992,1.397922861,1.394061139,148
1.3963,1.39686,1.39612,1.39674,1.395943,1.397741145,1.394144855,182
1.39674,1.39684,1.39622,1.39664,1.395896,1.39756504,1.39422696,252
1.39664,1.39664,1.39424,1.39474,1.3957605,1.397340544,1.394180456,516
1.39474,1.39587,1.39429,1.39528,1.3957165,1.397298603,1.394134397,391
1.39528,1.39593,1.39458,1.39484,1.3957205,1.397293287,1.394147713,415
1.39484,1.39632,1.39464,1.39584,1.3957295,1.397302859,1.394156141,394
1.39584,1.39647,1.39569,1.3963,1.3957965,1.397347039,1.394245961,346
1.3963,1.39744,1.39618,1.39632,1.3958595,1.397387446,1.394331554,508
1.39632,1.39653,1.39564,1.39604,1.3958985,1.397402884,1.394394116,304
1.39604,1.39666,1.39536,1.39543,1.3959375,1.397347902,1.394527098,308
1.39543,1.39636,1.39524,1.39626,1.3959995,1.397350906,1.394648094,325
1.39626,1.3969,1.39614,1.39686,1.3960595,1.39745124,1.39466776,212
1.39686,1.39727,1.39626,1.39704,1.3961295,1.397569784,1.394689216,207
1.39704,1.39728,1.39668,1.39694,1.3962105,1.397641758,1.394779242,247
1.39694,1.39694,1.39598,1.39648,1.396262,1.397653669,1.394870331,192
1.39648,1.39673,1.39512,1.39522,1.396206,1.39766892,1.39474308,248
1.39522,1.39585,1.39472,1.39554,1.3961515,1.397628325,1.394674675,346
1.39554,1.39616,1.39472,1.3957,1.3960745,1.397474892,1.394674108,337
1.3957,1.39582,1.39522,1.3953,1.3959905,1.397364858,1.394616142,203
1.3953,1.39649,1.39494,1.39604,1.3959775,1.397344802,1.394610198,407
1.39604,1.39684,1.39572,1.39592,1.3959365,1.397258306,1.394614694,438
1.39592,1.39623,1.39518,1.39536,1.3958725,1.397175679,1.394569321,273
1.39536,1.39544,1.39452,1.39521,1.395896,1.397131854,1.394660146,506
1.39521,1.39614,1.39521,1.39532,1.395898,1.397129984,1.394666016,383
1.39532,1.39576,1.3945,1.39501,1.3959065,1.397111212,1.394701788,305
1.39501,1.39582,1.39482,1.39541,1.395885,1.397108887,1.394661113,573
1.39541,1.39574,1.39482,1.39546,1.395843,1.397064689,1.394621311,543
1.39546,1.39546,1.3932,1.39326,1.39569,1.397329439,1.394050561,607
1.39326,1.39332,1.39243,1.39255,1.3955155,1.397639971,1.393391029,544
1.39255,1.39302,1.3921,1.39263,1.3953755,1.397845063,1.392905937,536
1.39263,1.39356,1.39263,1.39286,1.3952055,1.397868622,1.392542378,291
1.39286,1.39378,1.39222,1.3935,1.3950375,1.397685819,1.392389181,434
1.3935,1.39402,1.39313,1.39402,1.3948865,1.397401942,1.392371058,362
1.39402,1.39405,1.393,1.39305,1.394692,1.39714298,1.39224102,499
1.39305,1.3942,1.39301,1.39358,1.394547,1.396898834,1.392195166,444
1.39358,1.39516,1.39358,1.39511,1.3945415,1.39688752,1.39219548,354
1.39511,1.39784,1.39494,1.39745,1.394637,1.397275144,1.391998856,792
1.39745,1.3985,1.39715,1.39764,1.394734,1.397649438,1.391818562,655
1.39764,1.39824,1.39731,1.39762,1.39485,1.398019808,1.391680192,316
1.39762,1.39799,1.3972,1.39746,1.394921,1.398253674,1.391588326,304
1.39746,1.39808,1.39707,1.39794,1.395022,1.398584188,1.391459812,325
1.39794,1.39852,1.39794,1.39833,1.3951705,1.399013246,1.391327754,185
1.39833,1.39906,1.39833,1.39888,1.395354,1.399523386,1.391184614,180
1.39888,1.39896,1.3981,1.39834,1.395505,1.39987256,1.39113744,271
1.39834,1.39918,1.39834,1.39842,1.3956755,1.400215295,1.391135705,238
1.39842,1.39852,1.39794,1.39823,1.3958165,1.400487818,1.391145182,168
1.39823,1.39852,1.39808,1.39834,1.3959605,1.40075492,1.39116608,218
1.39834,1.39848,1.39788,1.39828,1.3962115,1.400939283,1.391483717,201
1.39828,1.39854,1.39783,1.39783,1.3964755,1.400938205,1.392012795,169
1.39783,1.39814,1.3974,1.39804,1.396746,1.400887861,1.392604139,209
1.39804,1.39806,1.39714,1.39714,1.39696,1.400699342,1.393220658,195
1.39714,1.39728,1.39636,1.39664,1.397117,1.400509675,1.393724325,203
1.39664,1.39666,1.39586,1.39652,1.397242,1.400340507,1.394143493,230
1.39652,1.39684,1.39631,1.39656,1.3974175,1.399878393,1.394956607,142
1.39656,1.39656,1.39564,1.39574,1.3975255,1.399429931,1.395621069,172
1.39574,1.39603,1.39544,1.3955,1.397545,1.399355784,1.395734216,126
1.3955,1.39662,1.39536,1.39636,1.3974905,1.399373609,1.395607391,204
1.39636,1.39681,1.39632,1.3966,1.3974385,1.399359284,1.395517716,161
1.3966,1.39751,1.39654,1.39736,1.3974255,1.399344713,1.395506287,265
1.39736,1.39758,1.3969,1.39695,1.3974,1.399330223,1.395469777,298
1.39695,1.39723,1.39654,1.39712,1.397359,1.399276393,1.395441607,139
1.39712,1.39712,1.39616,1.39616,1.3972505,1.39918137,1.39531963,281
1.39616,1.39662,1.39616,1.3963,1.3971215,1.398941206,1.395301794,129
1.3963,1.39666,1.39612,1.39646,1.3970275,1.398778658,1.395276342,172
1.39646,1.39738,1.39634,1.3973,1.3969715,1.398608892,1.395334108,148
1.3973,1.39772,1.39726,1.39754,1.396937,1.398493973,1.395380027,125
1.39754,1.39805,1.3974,1.39796,1.396918,1.39841411,1.39542189,134
1.39796,1.39816,1.3976,1.39806,1.396907,1.398365658,1.395448342,175
1.39806,1.39848,1.39806,1.39845,1.396938,1.398496725,1.395379275,183
1.39845,1.39845,1.39764,1.39764,1.396918,1.398429193,1.395406807,136
1.39764,1.39778,1.3974,1.39754,1.396938,1.398470848,1.395405152,106
1.39754,1.39776,1.3972,1.39722,1.396967,1.398498145,1.395435855,174
1.39722,1.39725,1.397,1.39703,1.3969925,1.398509944,1.395475056,75
1.39703,1.39708,1.3966,1.39674,1.3970015,1.398510689,1.395492311,71
1.39674,1.39682,1.39642,1.39652,1.3970405,1.398454593,1.395626407,90
1.39652,1.39663,1.3963,1.39663,1.397097,1.398340368,1.395853632,116
1.39663,1.39663,1.3957,1.39574,1.397066,1.398408302,1.395723698,118
1.39574,1.39624,1.39574,1.39624,1.397048,1.398424046,1.395671954,130
